,BranchLenght,BranchPerimeter,DecayRange,PercBarkAttached,HostPlant,VegetationSubtype,VegetationType,LocName,Exposure,Elevation,CanopyHeight,PercCanopyCover,PerLeafLitter,CollectionMonth,CollectionYear
Sample1532,111,70.5,1.2,0,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1533,99,65,2.7,0,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1534,83,57.5,1.8,5,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1535,89,61,1.8,70,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1536,148,91,1,20,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1537,69,52,1.5,15,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1538,125,80.5,1.8,20,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample154,108,6,1,40,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1541,218,128.5,1.2,5,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1542,144,92,1.2,0,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1545,131,66,1.3,50,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1547,120,61.5,1,95,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1548,96,50,2,80,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1549,56,30.5,2.2,0,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Jun,Y2014
Sample155,113,8.5,1,3,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1550,72,39,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Jun,Y2014
Sample1552,43,25.5,1.2,30,Chamaecytisus_proliferus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1553,174,91.5,1.7,0,Chamaecytisus_proliferus,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1554,161,85.5,1.5,70,Erica_arborea,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1556,89,50.5,1.7,80,Erica_arborea,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1557,47,30,2.3,50,Erica_arborea,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Jun,Y2014
Sample1558,81,47.5,1.7,80,Erica_arborea,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Jun,Y2014
Sample1562,136,77,1.5,20,Morella_faya,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1563,119,69,2.2,40,Pinus_canariensis,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1564,160,90,1.2,10,Pinus_canariensis,PinarMixto,Pinar,Monta–aMorra,N,1521,30,80,100,Oct,Y2012
Sample1569,120,61.5,1,70,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Oct,Y2012
Sample1574,72,40,1.3,70,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1575,107,58,1,95,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1576,70,40,1.5,50,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1586,58,39,1.5,40,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1588,44,33,1.3,80,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1595,76,52.5,1.5,30,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample16,123,23,1.5,50,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample160,66,5.5,1,30,Lavandula_canariensis,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1601,123,79,1.2,25,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Oct,Y2012
Sample1602,125,80.5,1,15,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Oct,Y2012
Sample1603,68,52.5,1,5,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Oct,Y2012
Sample1604,78,58,1,50,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1605,101,70,1.3,10,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1611,97,71,1.5,40,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuestaBurra,N,2075,2.5,20,5,Dec,Y2013
Sample1612,22,11.5,3,100,Arrhenatherum_calderae,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1613,45,23.5,3,100,Arrhenatherum_calderae,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1615,50,27,2.3,10,Arrhenatherum_calderae,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1616,61,33,2,10,Arrhenatherum_calderae,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1619,82,45,1,90,Carlina_xeranthemoides,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1621,90,50,1.7,90,Carlina_xeranthemoides,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1622,66,38.5,1,0,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1627,200,108,3,60,Echium_wildpretii,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1630,90,54.5,2.8,10,Echium_wildpretii,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1631,161,90.5,2.8,10,Echium_wildpretii,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1643,103,67.5,1,50,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1644,90,61.5,1,70,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1646,129,82,1,40,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1647,96,66,1.3,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMontonTrigo,S,2190,2,50,5,Nov,Y2012
Sample1648,56,28.5,1,30,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1649,152,77,1.3,80,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1650,87,45,1,40,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1654,65,36,1,5,Carlina_xeranthemoides,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1656,84,46.5,1,20,Carlina_xeranthemoides,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1661,92,53,1.2,0,Chamaecytisus_proliferus,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1662,130,72.5,1,0,Chamaecytisus_proliferus,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1664,47,32,2.2,50,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1673,101,63.5,1,20,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1674,108,67.5,1,70,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1675,129,78.5,1.3,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1676,161,95,1.5,80,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1677,179,104.5,1,95,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,Ca–adaMareta,S,2190,3,70,30,Nov,Y2012
Sample1678,70,35.5,1.7,0,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1681,164,84,1,60,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1682,90,47.5,1.3,50,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1683,124,65,1.2,100,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2014
Sample1685,66,37,1.5,0,Adenocarpus_foliolosus,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Mar,Y2014
Sample1697,73,46.5,1,60,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Mar,Y2014
Sample1698,44,32.5,1.2,40,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Mar,Y2014
Sample1702,31,28,1.8,20,Echium_wildpretii,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1705,147,87.5,2.3,40,Echium_wildpretii,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1706,106,67.5,2.3,50,Echium_wildpretii,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1718,122,81.5,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1720,50,46.5,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1722,97,71,1.3,10,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Feb,Y2013
Sample1723,82,64,1.2,5,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaRoques,S,2194,2,80,95,Mar,Y2014
Sample1733,104,54.5,1.2,40,Descurainia_bourgeauana,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1734,61,33.5,1,5,Pinus_pinaster,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1736,75,41.5,1,15,Pinus_pinaster,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1739,240,125.5,1.3,60,Pinus_pinaster,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample174,60,10.5,1.3,40,Rumex_lunaria,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1740,35,23.5,1,100,Pinus_pinaster,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample1744,41,28.5,1,0,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1746,80,49,1.2,60,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1747,77,48,1.2,70,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1749,56,38.5,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1750,149,85.5,1.3,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Feb,Y2013
Sample1751,40,31.5,1,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample1752,56,40,1,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample1753,51,38,1,80,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample1754,54,40,1.3,90,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample1755,105,66,1.3,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,CuevaLajones,N,2060,6,40,50,Mar,Y2014
Sample176,88,10.5,1.2,50,Rumex_lunaria,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1761,149,77,1.3,10,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1764,50,29,1,50,Carlina_xeranthemoides,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1780,114,69,1.5,90,Echium_wildpretii,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1783,47,37,1.2,0,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1788,112,72,1.3,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1789,116,74.5,1,70,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1790,94,64,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1791,140,87.5,1.2,5,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,LaMesa,S,2457,1.7,60,30,Mar,Y2013
Sample1792,75,38,1,50,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1793,67,34.5,1.2,4,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1796,55,30,1.5,100,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1805,81,47.5,1,0,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1806,58,36.5,1,0,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1810,74,46.5,1,80,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1811,105,62.5,1,40,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1812,120,70.5,1,90,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,SolMuertos,S,2378,10,80,75,Mar,Y2013
Sample1816,102,53,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,ParedEscoronada,S,3012,1,65,15,Apr,Y2014
Sample1818,92,49,1,15,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,ParedEscoronada,S,3012,1,65,15,Apr,Y2014
Sample182,79,3,1,10,Aeonium_lindleyii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample1823,75,43,1,5,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,ParedEscoronada,S,3012,1,65,15,Apr,Y2014
Sample1825,45,29,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,ParedEscoronada,S,3012,1,65,15,Apr,Y2014
Sample1828,107,54,1.5,5,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1829,95,48.5,1.3,20,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1830,100,51.5,1.3,40,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1839,101,56.5,1,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1840,108,60.5,1,7,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1841,79,46.5,1,80,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1842,109,62,1,0,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1844,103,60,1.2,40,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorrosPardos,S,2456,3,60,25,Apr,Y2014
Sample1845,73,37,1.5,50,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1846,95,48.5,1.3,0,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1848,69,36.5,1.8,15,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1849,75,40,1,0,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1852,46,27,1.3,0,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1855,104,57.5,1.3,90,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1856,121,66.5,1,50,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1857,78,45.5,1.3,10,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1858,94,54,1,10,Adenocarpus_viscosus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1869,69,47,1,80,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1870,49,37.5,1,10,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1871,62,44.5,1,90,Pterocephallus_lasiospermus,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1874,140,85,1,5,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1876,95,63.5,1,40,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1881,109,73,1.2,50,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Feb,Y2014
Sample1884,174,107,1.2,80,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1887,140,91.5,1,70,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1888,104,74,1,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1889,105,75,1.7,15,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample1891,139,93,1.2,30,Spartocytisus_supranubius,RetamarCodesar,RetamarCodesar,MorroCerrillos,N,2010,12,40,85,Mar,Y2014
Sample192,77,13.5,3,60,Euphorbia_canariensis,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample193,60,13,3,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample195,88,22.5,2,50,Euphorbia_canariensis,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample197,52,7.5,1.5,70,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample198,63,9.5,2,0,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample199,45,13.5,1.8,15,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample200,92,10.5,1.3,10,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample201,93,11,2,30,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample210,46,4,1,0,Lavandula_canariensis,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample211,64,7,1.2,70,Lavandula_canariensis,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample212,110,11,1,20,Periploca_laevigata,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample214,88,11,1,0,Periploca_laevigata,Cardonal,TabaibalCardonal,RoqueSue–o,S,305,2.5,80,15,Mar,Y2013
Sample218,47,8.5,1.3,50,Aeonium_pseudourbicum,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample219,31,9.5,1.8,85,Aeonium_pseudourbicum,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample220,60,9.5,2.5,30,Aeonium_pseudourbicum,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample222,85,4,1,80,Carlina_salicifolia,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample228,46,5.5,1.3,20,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample231,75,4.5,2.2,70,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample233,85,4.5,2.8,70,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample234,59,7.5,2.3,5,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample237,110,5,1,30,Salvia_canariensis,TabaibalMejorero,TabaibalCardonal,LaGollada,S,1051,3.5,80,20,Sep,Y2013
Sample248,74,3,1.2,40,Aeonium_lindleyii,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample249,80,2,1,20,Aeonium_lindleyii,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample259,89,6,1.2,30,Arthemisia_thuscula,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample262,70,4,2.2,15,Arthemisia_thuscula,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample268,79,4.5,1,80,Bystropogon_odoratissimus,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample269,75,3.5,1,50,Bystropogon_odoratissimus,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample27,59,17.5,1,50,Salsola_divaricata,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample272,71,4,1,30,Echium_leucophaeum,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample274,40,6.5,1.5,0,Echium_leucophaeum,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample275,70,11.5,1.5,0,Echium_leucophaeum,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample278,52,14.5,1,3,Echium_leucophaeum,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample284,39,9,2.7,70,Euphorbia_canariensis,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample285,90,13.5,1.8,100,Euphorbia_canariensis,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,May,Y2013
Sample286,51,14,3,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample288,56,13.5,2.8,98,Euphorbia_canariensis,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample289,110,14,3,95,Euphorbia_canariensis,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample292,50,4.5,3,15,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample293,67,8.5,3,40,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample303,109,7,1,95,Rubia_fruticosa,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
